name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Washington,DC,USA",2020-05-11,16.6,9.3,12.6,16.6,6.6,12.4,2.8,53.2,0.479,100,8.33,rain,0.0,0.0,56.5,38.9,289.1,1014.8,73.9,16.0,88.1,7.7,4,,2020-05-11T05:58:52,2020-05-11T20:10:42,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"KDCA,72405013743,72403793728,F0198,KADW,KDAA,72033493764,74594013705"
"Washington,DC,USA",2020-05-12,17.1,6.5,11.8,17.1,3.8,10.8,-1.2,42.6,0.0,0,0.0,,0.0,0.0,46.0,26.4,295.5,1021.2,62.9,16.0,110.0,9.4,5,,2020-05-12T05:57:55,2020-05-12T20:11:38,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KIAD,KDCA,72405013743,72403793728,72403093738,F0198,KGAI,KADW,KDAA,72033493764,74594013705"
"Washington,DC,USA",2020-05-13,21.1,7.2,14.4,21.1,5.9,14.2,1.8,45.9,0.0,0,0.0,,0.0,0.0,35.6,16.7,213.3,1025.5,28.4,16.0,120.3,10.6,8,,2020-05-13T05:56:59,2020-05-13T20:12:32,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,F0198,KADW,KDAA,74594013705"
"Washington,DC,USA",2020-05-14,21.2,10.8,16.1,21.2,10.8,16.1,10.1,68.4,0.552,100,8.33,rain,0.0,0.0,31.7,19.7,184.7,1023.4,62.0,15.9,77.7,6.8,4,,2020-05-14T05:56:05,2020-05-14T20:13:27,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"C6294,KDCA,72405013743,72403793728,F0198,KADW,KDAA,74594013705"
"Washington,DC,USA",2020-05-15,29.3,16.7,22.8,29.0,16.7,22.8,15.2,65.6,0.036,100,4.17,rain,0.0,0.0,47.4,32.4,189.5,1015.9,53.0,16.0,118.6,10.3,8,,2020-05-15T05:55:12,2020-05-15T20:14:21,0.77,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KDCA,72405013743,72403793728,F0198,KADW,KDAA,AS365,74594013705"
"Washington,DC,USA",2020-05-16,28.2,18.8,23.3,27.5,18.8,23.3,13.8,56.8,0.0,0,0.0,,0.0,0.0,32.0,20.3,55.3,1017.1,55.3,16.0,96.6,8.2,7,,2020-05-16T05:54:21,2020-05-16T20:15:14,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,F0198,KADW,KDAA,AS365,74594013705"
"Washington,DC,USA",2020-05-17,19.9,15.9,18.0,19.9,15.9,18.0,12.9,72.6,0.0,0,0.0,,0.0,0.0,37.1,19.7,84.6,1021.4,71.1,16.0,38.4,3.3,1,,2020-05-17T05:53:31,2020-05-17T20:16:07,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,F0198,KADW,KDAA,74594013705"
"Washington,DC,USA",2020-05-18,19.9,13.8,16.6,19.9,13.8,16.6,12.4,77.4,0.0,0,0.0,,0.0,0.0,41.4,27.8,55.8,1017.3,96.6,14.5,34.4,2.8,1,,2020-05-18T05:52:43,2020-05-18T20:17:00,0.87,Overcast,Cloudy skies throughout the day.,cloudy,"C6294,KDCA,72405013743,72403793728,72403093738,F0198,KGAI,KADW,KDAA,72033493764,74594013705"
"Washington,DC,USA",2020-05-19,20.5,13.7,16.6,20.5,13.7,16.6,5.1,48.4,0.0,0,0.0,,0.0,0.0,61.0,40.4,74.7,1020.7,62.5,16.0,94.1,8.0,6,,2020-05-19T05:51:57,2020-05-19T20:17:52,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,F0198,KADW,KDAA,74594013705"
"Washington,DC,USA",2020-05-20,17.7,11.6,14.0,17.7,11.6,14.0,5.2,56.0,0.0,0,0.0,,0.0,0.0,47.3,33.9,69.9,1026.5,83.1,16.0,80.6,7.1,3,,2020-05-20T05:51:12,2020-05-20T20:18:43,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,F0198,KADW,KDAA,AS365,74594013705"
"Washington,DC,USA",2020-05-21,21.7,10.5,15.9,21.7,10.5,15.9,10.6,71.5,0.0,0,0.0,,0.0,0.0,39.2,26.1,73.3,1026.1,86.3,16.0,74.1,6.2,3,,2020-05-21T05:50:29,2020-05-21T20:19:34,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,F0198,KADW,KDAA,AS365,74594013705"
"Washington,DC,USA",2020-05-22,24.9,15.6,19.5,24.9,15.6,19.5,17.1,86.3,13.88,100,45.83,rain,0.0,0.0,28.4,19.5,45.4,1018.2,83.6,13.0,34.8,2.8,2,,2020-05-22T05:49:48,2020-05-22T20:20:24,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"KDCA,72405013743,72403793728,F0198,KGAI,KADW,KDAA,AS365,72033493764,74594013705"
"Washington,DC,USA",2020-05-23,28.2,17.7,22.8,28.5,17.7,22.8,16.9,72.3,7.761,100,20.83,rain,0.0,0.0,33.3,22.9,327.4,1015.8,61.5,15.6,97.0,8.4,6,,2020-05-23T05:49:09,2020-05-23T20:21:13,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"KDCA,72405013743,72403793728,F0198,KADW,KDAA,AS365,74594013705"
"Washington,DC,USA",2020-05-24,21.9,15.6,18.0,21.9,15.6,18.0,14.9,82.3,0.0,0,0.0,,0.0,0.0,32.8,20.9,72.0,1021.8,94.2,15.8,39.8,3.5,2,,2020-05-24T05:48:31,2020-05-24T20:22:02,0.07,Overcast,Cloudy skies throughout the day.,cloudy,"KDCA,72405013743,72403793728,F0198,KADW,KDAA,74594013705"
"Washington,DC,USA",2020-05-25,25.4,16.6,19.7,25.4,16.6,19.7,14.7,73.6,0.0,0,0.0,,0.0,0.0,19.1,14.0,102.6,1022.4,67.8,16.0,71.7,6.0,2,,2020-05-25T05:47:55,2020-05-25T20:22:49,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,D6279,F0198,KADW,KDAA,AS365,74594013705"
"Washington,DC,USA",2020-05-26,26.0,16.3,21.2,26.0,16.3,21.2,16.8,77.0,0.0,0,0.0,,0.0,0.0,25.9,16.1,147.9,1022.2,53.8,15.8,98.5,8.3,6,,2020-05-26T05:47:21,2020-05-26T20:23:36,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,F0198,KADW,KDAA,AS365,74594013705"
"Washington,DC,USA",2020-05-27,26.6,18.5,22.2,26.6,18.5,22.2,18.2,79.2,0.0,0,0.0,,0.0,0.0,29.2,17.5,148.5,1021.9,67.3,15.8,63.1,5.5,2,,2020-05-27T05:46:48,2020-05-27T20:24:22,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,F0198,KADW,KDAA,74594013705"
"Washington,DC,USA",2020-05-28,26.1,22.1,23.8,26.1,22.1,23.8,21.8,88.6,2.032,100,37.5,rain,0.0,0.0,44.3,25.5,162.5,1018.1,84.4,14.8,41.6,3.5,2,,2020-05-28T05:46:17,2020-05-28T20:25:08,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"C6294,KDCA,72405013743,72403793728,D6279,F0198,KADW,KDAA,74594013705"
"Washington,DC,USA",2020-05-29,29.9,23.3,26.0,32.9,23.3,27.0,22.1,80.1,0.0,0,0.0,,0.0,0.0,44.6,30.3,191.3,1015.2,75.5,15.2,76.0,6.5,3,,2020-05-29T05:45:49,2020-05-29T20:25:52,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,F0198,KADW,KDAA,AS365,74594013705"
"Washington,DC,USA",2020-05-30,28.3,20.5,24.3,27.4,20.5,24.1,13.8,55.7,0.278,100,4.17,rain,0.0,0.0,50.0,32.7,315.5,1014.2,49.2,16.0,98.0,8.6,9,,2020-05-30T05:45:22,2020-05-30T20:26:35,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KDCA,72405013743,72403793728,F0198,KADW,KDAA,AS365,74594013705"
"Washington,DC,USA",2020-05-31,23.7,15.9,20.4,23.7,15.9,20.4,6.0,39.5,0.0,0,0.0,,0.0,0.0,41.6,28.5,337.9,1019.5,36.8,16.0,97.8,8.3,7,,2020-05-31T05:44:56,2020-05-31T20:27:17,0.32,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KDCA,72405013743,72403793728,F0198,KGAI,KADW,KDAA,AS365,72033493764,74594013705"
"Washington,DC,USA",2020-06-01,23.8,13.0,18.5,23.8,13.0,18.5,4.3,40.2,0.0,0,0.0,,0.0,0.0,31.7,21.1,315.2,1024.1,36.0,16.0,101.6,8.8,8,,2020-06-01T05:44:33,2020-06-01T20:27:58,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,F0198,KADW,KDAA,AS365,74594013705"
"Washington,DC,USA",2020-06-02,24.9,14.1,19.3,24.9,14.1,19.3,10.7,58.2,0.0,0,0.0,,0.0,0.0,31.3,21.8,193.4,1017.4,69.2,16.0,62.9,5.3,3,,2020-06-02T05:44:12,2020-06-02T20:28:38,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,F0198,KADW,KDAA,AS365,74594013705"
"Washington,DC,USA",2020-06-03,33.3,19.9,26.6,34.2,19.9,27.0,17.6,59.9,0.0,0,0.0,,0.0,0.0,42.5,28.5,216.2,1007.7,64.1,16.0,84.6,7.2,4,,2020-06-03T05:43:52,2020-06-03T20:29:17,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KIAD,KDCA,72405013743,72403793728,72403093738,F0198,KGAI,KADW,KDAA,AS365,72033493764,74594013705"
"Washington,DC,USA",2020-06-04,32.8,22.9,27.6,35.0,22.9,28.3,19.0,61.4,10.208,100,12.5,rain,0.0,0.0,79.6,20.2,175.5,1010.8,51.2,15.7,80.6,6.9,6,,2020-06-04T05:43:34,2020-06-04T20:29:55,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KIAD,KDCA,72405013743,72403793728,72403093738,F0198,KGAI,KADW,KDAA,72033493764,74594013705"
"Washington,DC,USA",2020-06-05,30.6,21.5,24.8,33.7,21.5,25.6,21.1,81.5,36.408,100,33.33,rain,0.0,0.0,35.3,24.1,179.6,1012.4,64.4,15.4,63.8,5.4,3,,2020-06-05T05:43:18,2020-06-05T20:30:31,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KDCA,72405013743,72403793728,F0198,KGAI,KADW,KDAA,AS365,72033493764,74594013705"
"Washington,DC,USA",2020-06-06,32.7,22.1,27.1,34.8,22.1,27.9,19.6,67.3,0.022,100,4.17,rain,0.0,0.0,43.9,25.6,301.9,1010.5,57.7,16.0,89.8,7.6,5,,2020-06-06T05:43:04,2020-06-06T20:31:06,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KIAD,KDCA,72405013743,72403793728,72403093738,F0198,KGAI,KADW,KDAA,72033493764,74594013705"
"Washington,DC,USA",2020-06-07,27.1,19.8,24.3,26.9,19.8,24.2,12.0,47.0,0.022,100,4.17,rain,0.0,0.0,32.8,23.2,338.1,1013.9,40.5,16.0,97.2,8.4,6,,2020-06-07T05:42:52,2020-06-07T20:31:40,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KDCA,72405013743,72403793728,D6279,F0198,KADW,KDAA,74594013705"
"Washington,DC,USA",2020-06-08,27.8,17.5,22.9,27.3,17.5,22.8,11.5,50.4,0.0,0,0.0,,0.0,0.0,22.7,19.4,28.5,1017.1,24.0,16.0,98.1,8.5,7,,2020-06-08T05:42:42,2020-06-08T20:32:13,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KIAD,KDCA,72405013743,72403793728,72403093738,F0198,KGAI,KADW,KDAA,72033493764,74594013705"
"Washington,DC,USA",2020-06-09,31.2,18.9,25.4,35.4,18.9,27.0,18.8,67.3,0.0,0,0.0,,0.0,0.0,27.7,22.8,176.6,1014.9,55.5,16.0,87.4,7.6,6,,2020-06-09T05:42:33,2020-06-09T20:32:44,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,F0198,KGAI,KDAA,KADW,AS365,72033493764,74594013705"
"Washington,DC,USA",2020-06-10,31.6,24.2,27.8,37.7,24.2,30.5,23.0,75.4,0.0,0,0.0,,0.0,0.0,48.6,35.9,184.1,1013.3,70.8,16.0,76.1,6.6,4,,2020-06-10T05:42:27,2020-06-10T20:33:13,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,F0198,KGAI,KADW,KDAA,AS365,72033493764,74594013705"
"Washington,DC,USA",2020-06-11,29.9,23.7,26.4,30.9,23.7,26.7,20.9,73.6,9.136,100,33.33,rain,0.0,0.0,45.8,26.9,211.4,1016.0,79.4,15.0,62.2,5.5,4,,2020-06-11T05:42:22,2020-06-11T20:33:42,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"KDCA,72405013743,72403793728,F0198,KGAI,KADW,KDAA,72033493764,74594013705"
"Washington,DC,USA",2020-06-12,30.6,20.6,26.2,29.5,20.6,25.8,12.8,44.8,0.0,0,0.0,,0.0,0.0,31.7,19.8,326.2,1020.0,40.5,16.0,92.5,8.0,7,,2020-06-12T05:42:19,2020-06-12T20:34:08,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,F0198,KADW,KDAA,74594013705"
"Washington,DC,USA",2020-06-13,26.1,18.1,22.6,26.1,18.1,22.6,10.1,45.5,0.0,0,0.0,,0.0,0.0,29.9,22.7,13.5,1021.9,34.3,16.0,88.8,7.8,7,,2020-06-13T05:42:18,2020-06-13T20:34:34,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,F0198,KADW,KDAA,AS365,74594013705"
"Washington,DC,USA",2020-06-14,25.5,17.0,21.1,25.5,17.0,21.1,9.9,49.2,0.0,0,0.0,,0.0,0.0,31.7,23.0,64.8,1025.9,56.8,16.0,85.0,7.1,7,,2020-06-14T05:42:19,2020-06-14T20:34:57,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,F0198,KADW,KDAA,74594013705"
"Washington,DC,USA",2020-06-15,24.9,16.9,21.0,24.9,16.9,21.0,11.5,55.7,0.0,0,0.0,,0.0,0.0,38.9,24.8,67.0,1027.4,67.2,16.0,91.0,7.8,6,,2020-06-15T05:42:21,2020-06-15T20:35:19,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,F0198,KADW,KDAA,74594013705"
"Washington,DC,USA",2020-06-16,25.4,18.2,21.1,25.4,18.2,21.1,11.5,55.2,0.0,0,0.0,,0.0,0.0,43.2,28.1,54.9,1026.2,67.3,16.0,75.0,6.5,3,,2020-06-16T05:42:26,2020-06-16T20:35:40,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,F0198,KADW,KDAA,AS365,72033493764,74594013705"
"Washington,DC,USA",2020-06-17,22.0,18.2,20.0,22.0,18.2,20.0,16.6,81.1,20.202,100,37.5,rain,0.0,0.0,50.4,27.6,45.5,1021.5,88.6,14.0,29.9,2.4,1,,2020-06-17T05:42:32,2020-06-17T20:35:59,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KDCA,72405013743,72403793728,F0198,KADW,KDAA,AS365,74594013705"
"Washington,DC,USA",2020-06-18,27.1,19.9,23.1,27.9,19.9,23.1,18.7,78.1,0.407,100,16.67,rain,0.0,0.0,33.1,19.7,107.1,1019.0,80.1,14.9,51.8,4.4,3,,2020-06-18T05:42:40,2020-06-18T20:36:16,0.92,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"KDCA,72405013743,72403793728,F0198,KADW,KDAA,AS365,74594013705"
"Washington,DC,USA",2020-06-19,27.8,20.3,23.8,29.2,20.3,24.0,19.3,76.9,0.278,100,8.33,rain,0.0,0.0,36.4,20.2,187.5,1018.9,62.4,16.0,52.8,4.6,3,,2020-06-19T05:42:49,2020-06-19T20:36:31,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KDCA,72405013743,72403793728,F0198,KGAI,KADW,KDAA,AS365,72033493764,74594013705"
"Washington,DC,USA",2020-06-20,26.0,20.4,22.5,26.0,20.4,22.5,19.8,84.9,14.357,100,25.0,rain,0.0,0.0,24.8,15.4,113.3,1017.4,52.6,15.3,40.5,3.4,1,,2020-06-20T05:43:01,2020-06-20T20:36:45,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"KDCA,72405013743,72403793728,F0198,KADW,KDAA,AS365,74594013705"
"Washington,DC,USA",2020-06-21,29.2,21.4,24.6,30.4,21.4,25.2,20.3,78.2,0.0,0,0.0,,0.0,0.0,22.7,19.6,111.6,1015.8,56.6,15.2,66.8,5.6,4,,2020-06-21T05:43:14,2020-06-21T20:36:57,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,F0198,KADW,KDAA,AS365,74594013705"
"Washington,DC,USA",2020-06-22,31.6,21.4,25.5,35.4,21.4,26.6,20.9,76.9,0.265,100,16.67,rain,0.0,0.0,49.9,24.4,180.0,1014.2,46.6,16.0,68.9,5.8,5,,2020-06-22T05:43:28,2020-06-22T20:37:07,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KDCA,72405013743,72403793728,F0198,KADW,KDAA,74594013705"
"Washington,DC,USA",2020-06-23,31.0,21.4,26.1,35.2,21.4,27.7,21.3,76.2,0.0,0,0.0,,0.0,0.0,36.7,23.6,183.2,1008.4,56.4,15.9,67.0,5.7,3,,2020-06-23T05:43:45,2020-06-23T20:37:15,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,D6279,F0198,KADW,KDAA,74594013705"
"Washington,DC,USA",2020-06-24,29.9,23.8,26.5,29.6,23.8,26.4,16.1,54.7,0.0,0,0.0,,0.0,0.0,35.4,23.9,277.1,1009.3,55.5,16.0,85.7,7.2,6,,2020-06-24T05:44:03,2020-06-24T20:37:22,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,72403093738,F0198,72406093721,KADW,KDAA,AS365,72033493764,74594013705"
"Washington,DC,USA",2020-06-25,29.3,21.8,25.2,29.4,21.8,25.4,17.1,61.7,0.0,0,0.0,,0.0,0.0,26.3,16.1,165.0,1014.6,57.7,16.0,59.6,5.2,3,,2020-06-25T05:44:22,2020-06-25T20:37:27,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72405013743,KDCA,72403793728,72403093738,72406093721,F0198,KADW,KDAA,72033493764,74594013705"
"Washington,DC,USA",2020-06-26,31.6,19.2,26.0,31.2,19.2,25.8,15.5,55.8,0.0,0,0.0,,0.0,0.0,32.8,29.6,260.8,1016.1,43.3,16.0,75.7,6.4,6,,2020-06-26T05:44:43,2020-06-26T20:37:30,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,F0198,KADW,KDAA,74594013705"
"Washington,DC,USA",2020-06-27,33.2,23.6,27.5,34.8,23.6,28.3,19.7,64.3,0.534,100,8.33,rain,0.0,0.0,51.5,24.9,217.3,1011.0,62.3,15.8,62.4,5.5,4,,2020-06-27T05:45:06,2020-06-27T20:37:31,0.23,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KDCA,72405013743,72403793728,F0198,KADW,KDAA,AS365,74594013705"
"Washington,DC,USA",2020-06-28,32.1,24.2,28.0,34.0,24.2,29.1,20.2,63.7,0.0,0,0.0,,0.0,0.0,36.7,19.7,285.6,1008.4,56.1,16.0,73.1,6.3,5,,2020-06-28T05:45:30,2020-06-28T20:37:30,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,F0198,KADW,KDAA,AS365,74594013705"
"Washington,DC,USA",2020-06-29,33.1,24.3,28.7,33.2,24.3,28.9,17.9,54.3,0.0,0,0.0,,0.0,0.0,35.3,27.1,335.6,1010.7,50.3,16.0,83.2,7.1,5,,2020-06-29T05:45:56,2020-06-29T20:37:27,0.3,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KDCA,72405013743,72403793728,72403093738,F0198,72406093721,KGAI,KADW,KDAA,AS365,72033493764,74594013705"
"Washington,DC,USA",2020-06-30,32.7,22.6,27.9,32.3,22.6,28.0,17.0,53.7,0.0,0,0.0,,0.0,0.0,29.2,20.4,352.2,1012.0,53.4,16.0,76.8,6.5,5,,2020-06-30T05:46:23,2020-06-30T20:37:23,0.34,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KDCA,72405013743,72403793728,F0198,KGAI,KADW,KDAA,AS365,72033493764,74594013705"
"Washington,DC,USA",2020-07-01,30.0,22.6,25.9,31.6,22.6,26.5,20.0,70.6,3.133,100,16.67,rain,0.0,0.0,26.3,19.5,77.3,1011.5,54.0,16.0,71.2,6.0,4,,2020-07-01T05:46:51,2020-07-01T20:37:16,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KDCA,72405013743,72403793728,F0198,KGAI,KADW,KDAA,AS365,72033493764,74594013705"
"Washington,DC,USA",2020-07-02,33.3,22.0,27.8,33.7,22.0,28.1,18.0,57.9,0.0,0,0.0,,0.0,0.0,31.7,19.7,346.9,1012.0,36.9,16.0,73.4,6.2,4,,2020-07-02T05:47:21,2020-07-02T20:37:08,0.41,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KDCA,72405013743,72403793728,F0198,KGAI,KDAA,AS365,KADW,72033493764,74594013705"
"Washington,DC,USA",2020-07-03,35.5,24.1,30.3,37.0,24.1,31.0,18.0,49.2,0.0,0,0.0,,0.0,0.0,29.5,20.2,321.4,1011.7,20.4,16.0,84.0,7.1,6,,2020-07-03T05:47:52,2020-07-03T20:36:58,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,F0198,KADW,KDAA,74594013705"
